Unnamed: 0,0,1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1996_10,428.81,243.26,414.27,361.51,270.16,269.04,699.52,287.26,299.22,243.36,559.49,246.28,464.51,268.8,316.62,245.04,247.96,648.14,291.94,386.0,407.24,240.61,438.0,461.46,191.64,426.22,512.3,466.1,474.39
1996_11,433.88,243.31,419.23,365.77,270.95,269.84,706.04,290.36,301.64,245.74,566.04,248.72,469.91,269.62,318.56,247.49,250.4,655.44,293.41,389.93,412.15,243.05,443.17,466.32,192.45,431.29,518.19,471.29,479.66
1996_12,438.78,243.51,424.13,369.91,271.71,270.63,712.48,293.34,303.88,248.11,572.34,251.17,475.2,270.45,320.36,249.84,252.77,662.55,294.69,393.71,416.73,245.43,448.28,471.46,193.3,436.28,523.86,476.35,484.8
1997_1,440.32,244.82,425.49,371.58,272.16,270.88,712.8,295.08,305.09,250.12,573.78,253.24,476.49,271.06,320.94,251.8,254.71,664.23,295.47,394.94,418.48,247.3,449.57,472.4,194.92,437.72,525.1,477.36,485.84
1997_2,442.11,245.79,427.67,373.7,272.56,271.44,713.55,297.26,306.67,252.1,575.44,255.28,478.1,271.24,321.9,254.02,256.77,665.76,296.2,396.49,420.49,249.71,451.64,473.98,196.37,439.58,526.36,478.5,487.26
1997_3,443.21,246.7,428.41,374.8,272.84,271.59,714.37,298.68,307.42,253.78,577.3,256.81,479.53,271.44,322.28,255.53,258.54,667.83,296.3,397.22,421.22,251.02,452.67,475.0,197.55,440.61,528.27,479.96,488.42
1997_4,444.48,247.69,429.67,376.38,272.87,271.76,714.85,300.4,308.44,255.66,578.83,258.68,480.95,271.67,322.85,257.44,260.41,669.57,296.64,398.22,422.63,252.9,454.0,476.06,198.9,442.02,529.61,480.85,489.2
1997_5,445.76,248.58,431.0,377.88,273.13,272.03,715.42,302.06,309.42,257.37,580.38,260.46,482.13,271.78,323.31,259.2,262.14,671.08,296.99,399.23,423.72,254.63,455.33,477.01,200.2,443.28,530.9,482.14,490.62
1997_6,446.96,249.62,432.26,379.36,273.3,272.26,715.71,303.65,310.41,259.14,581.79,262.25,483.29,272.03,323.81,260.97,263.89,672.51,297.33,400.15,425.02,256.38,456.52,477.87,201.54,444.5,532.16,483.1,491.62
1997_7,448.4,250.67,433.61,380.89,273.61,272.56,716.34,305.36,311.49,260.96,583.45,264.09,484.7,272.31,324.39,262.77,265.71,674.18,297.81,401.23,426.41,258.17,457.99,479.03,202.93,445.88,533.58,484.27,492.8
1997_8,449.68,251.63,434.93,382.39,273.82,272.69,716.78,307.0,312.54,262.74,584.88,265.89,485.97,272.51,324.93,264.57,267.49,675.73,298.19,402.26,427.77,259.97,459.25,480.1,204.29,447.19,534.84,485.39,493.89
1997_9,451.0,252.67,436.25,383.88,274.11,273.03,717.37,308.66,313.6,264.51,586.53,267.67,487.34,272.83,325.58,266.32,269.26,677.36,298.6,403.31,429.12,261.67,460.67,481.2,205.63,448.52,536.3,486.56,495.09
1997_10,452.23,253.58,437.5,385.36,274.29,273.23,717.9,310.27,314.57,266.23,587.98,269.38,488.61,273.0,326.05,268.08,271.0,678.92,298.93,404.31,430.37,263.43,461.98,482.18,206.89,449.81,537.57,487.55,496.09
1997_11,453.33,254.52,438.65,386.74,274.48,273.39,718.06,311.79,315.48,267.86,589.21,270.98,489.66,273.2,326.45,269.72,272.64,680.14,299.26,405.17,431.52,265.09,463.09,483.1,208.12,450.94,538.63,488.43,497.0
1997_12,454.62,255.46,439.94,388.18,274.67,273.61,718.47,313.36,316.45,269.52,590.67,272.71,490.88,273.38,326.95,271.41,274.31,681.6,299.62,406.13,432.8,266.74,464.31,483.98,209.39,452.2,539.91,489.46,498.02
1998_1,454.48,255.45,439.84,389.91,274.33,273.24,716.78,317.52,318.28,275.1,590.31,278.33,490.6,273.05,326.7,277.02,279.89,681.02,299.28,405.93,432.92,272.29,464.17,483.53,211.58,452.06,539.55,489.06,497.57
1998_2,454.46,255.49,439.79,391.63,274.21,272.91,715.18,321.65,320.13,280.59,590.01,283.81,490.45,272.87,326.53,282.49,285.4,680.58,299.04,405.83,433.15,277.66,464.1,483.11,213.75,452.04,539.23,488.65,497.16
1998_3,454.33,255.46,439.7,393.26,273.83,272.57,713.46,325.64,321.87,285.91,589.75,289.21,490.18,272.45,326.21,287.84,290.72,679.97,298.75,405.65,433.29,282.88,463.93,482.81,215.82,451.89,538.88,488.27,496.75
1998_4,453.76,255.38,439.33,394.77,273.17,272.11,711.67,329.35,323.45,291.05,589.16,294.44,489.81,271.94,325.73,292.98,295.85,679.28,298.21,405.05,433.0,287.95,463.7,482.04,217.8,451.67,538.42,487.66,496.13
1998_5,453.69,255.22,439.19,396.21,272.69,271.67,709.64,333.03,324.95,295.95,588.57,299.38,489.35,271.43,325.32,297.97,300.73,678.32,297.83,404.91,433.17,292.89,463.37,481.44,219.64,451.36,537.7,487.07,495.49
1998_6,453.41,255.13,439.02,397.63,272.3,271.26,707.88,336.65,326.49,300.81,588.08,304.3,489.02,271.02,325.0,302.87,305.62,677.67,297.45,404.62,433.18,297.73,463.13,480.95,221.5,451.14,537.19,486.49,494.94
1998_7,453.11,254.97,438.65,398.87,271.77,270.76,705.87,340.08,327.88,305.5,587.49,309.03,488.48,270.52,324.55,307.6,310.29,676.63,296.96,404.24,433.06,302.4,462.79,480.28,223.26,450.73,536.55,485.87,494.27
1998_8,452.71,254.81,438.34,400.12,271.28,270.25,703.99,343.45,329.23,310.08,586.82,313.64,488.0,270.03,324.12,312.18,314.88,675.82,296.49,403.82,432.93,306.87,462.41,479.66,224.99,450.41,535.96,485.26,493.6
1998_9,452.32,254.58,437.95,401.26,270.79,269.73,701.97,346.69,330.46,314.53,586.07,318.13,487.44,269.54,323.65,316.62,319.3,674.81,295.98,403.4,432.69,311.25,461.96,478.88,226.62,450.01,535.2,484.49,492.79
1998_10,451.81,254.26,437.45,402.28,270.19,269.15,699.71,349.74,331.62,318.78,585.17,322.42,486.72,268.96,323.09,320.89,323.53,673.58,295.41,402.88,432.44,315.47,461.37,478.09,228.08,449.47,534.4,483.7,491.93
1998_11,451.22,253.93,436.92,403.22,269.58,268.56,697.39,352.7,332.69,322.89,584.29,326.56,485.98,268.38,322.54,325.02,327.63,672.29,294.82,402.3,432.07,319.53,460.77,477.14,229.55,448.9,533.55,482.8,491.06
1998_12,450.42,253.55,436.26,404.02,268.94,267.85,694.79,355.44,333.64,326.74,583.07,330.47,484.99,267.72,321.86,328.96,331.48,670.71,294.12,401.56,431.59,323.48,459.91,476.03,230.86,448.13,532.37,481.66,489.89
1999_1,448.43,253.34,434.37,402.75,267.8,266.57,690.4,355.1,332.66,326.88,580.3,330.61,482.72,266.58,320.4,329.11,331.63,667.33,292.71,399.73,429.72,323.69,457.84,473.58,230.73,446.13,529.78,479.24,487.42
1999_2,446.33,253.14,432.33,401.44,266.58,265.29,685.83,354.69,331.67,327.03,577.38,330.72,480.38,265.27,318.84,329.2,331.72,663.84,291.35,397.82,427.83,323.77,455.7,471.11,230.63,444.08,527.04,476.75,484.88
1999_3,443.97,252.87,430.24,400.09,264.8,263.77,681.36,354.18,330.76,327.16,574.44,330.79,478.02,263.56,317.09,329.26,331.7,660.38,289.58,395.63,426.13,323.88,453.59,468.64,230.46,441.99,524.34,474.18,482.3
1999_4,441.81,252.59,428.2,398.69,263.43,262.52,676.79,353.87,329.44,327.33,571.36,330.93,475.62,262.3,315.63,329.42,331.97,656.8,288.17,393.75,423.7,324.0,451.36,466.19,230.26,439.83,521.44,471.6,479.61
1999_5,439.48,252.37,425.9,397.21,262.17,261.17,672.15,353.3,328.54,327.32,568.39,331.0,473.07,260.98,314.06,329.46,331.92,653.04,286.82,391.58,422.02,324.06,448.82,463.62,230.12,437.55,518.63,469.07,477.0
1999_6,437.32,251.98,423.85,395.73,260.52,259.65,667.26,352.74,327.27,327.32,565.17,331.0,470.39,259.43,312.29,329.48,331.89,649.26,285.14,389.76,419.52,324.09,446.56,460.76,229.89,435.24,515.73,466.33,474.18
1999_7,435.08,251.74,421.7,394.32,259.18,258.26,662.09,352.27,326.21,327.43,562.07,331.07,467.85,258.04,310.6,329.57,331.94,644.94,283.62,387.69,417.55,324.2,444.3,457.69,229.74,433.02,512.77,463.64,471.4
1999_8,432.68,251.32,419.41,392.69,257.67,256.74,657.97,351.63,324.98,327.34,558.82,330.99,465.23,256.54,308.9,329.49,331.84,641.71,281.97,385.54,415.38,324.17,441.86,455.47,229.45,430.66,509.88,461.02,468.73
1999_9,430.5,251.09,417.25,391.23,256.29,255.34,653.29,351.14,323.85,327.46,555.78,331.09,462.71,255.16,307.31,329.58,331.91,637.96,280.49,383.59,413.33,324.25,439.55,452.96,229.25,428.41,507.05,458.35,466.02
1999_10,428.1,250.73,414.94,389.65,254.75,253.84,648.54,350.53,322.67,327.41,552.54,331.07,460.04,253.65,305.59,329.53,331.82,634.07,278.85,381.41,411.12,324.16,437.08,450.19,228.99,426.02,504.11,455.61,463.22
1999_11,425.63,250.34,412.64,388.06,253.26,252.31,643.86,349.94,321.45,327.39,549.24,330.99,457.38,252.15,303.81,329.49,331.76,630.21,277.15,379.23,408.9,324.16,434.62,447.45,228.72,423.65,501.03,452.8,460.35
1999_12,423.24,249.99,410.34,386.43,251.79,250.81,638.95,349.28,320.27,327.27,545.96,330.85,454.62,250.67,302.07,329.38,331.64,626.18,275.56,377.05,406.69,324.05,432.11,444.52,228.43,421.23,498.01,450.0,457.51
2000_1,423.25,250.22,410.37,386.78,252.59,251.33,637.78,349.98,320.74,328.16,545.79,331.74,454.49,251.34,302.53,330.29,332.54,625.84,276.04,377.21,406.81,324.87,432.06,444.38,229.17,421.23,497.8,449.82,457.27
2000_2,423.37,250.46,410.47,387.19,253.08,251.86,636.94,350.72,321.35,329.16,545.75,332.73,454.53,251.9,302.94,331.27,333.51,625.69,276.48,377.43,406.96,325.87,432.18,444.3,229.93,421.37,497.75,449.7,457.15
2000_3,423.38,250.65,410.5,387.48,253.42,252.32,635.85,351.44,321.81,330.1,545.64,333.68,454.47,252.32,303.33,332.17,334.46,625.34,276.87,377.56,406.98,326.75,432.22,444.12,230.67,421.36,497.6,449.54,456.96
2000_4,423.25,250.78,410.43,387.7,253.67,252.72,634.73,352.09,322.3,331.01,545.32,334.55,454.3,252.57,303.58,333.04,335.35,624.93,277.11,377.56,407.0,327.62,432.13,443.83,231.38,421.28,497.29,449.2,456.62
2000_5,422.85,250.8,410.14,387.75,253.91,253.01,633.06,352.51,322.5,331.68,544.69,335.28,453.77,252.82,303.77,333.76,335.98,623.97,277.31,377.36,406.65,328.37,431.68,443.21,231.94,420.92,496.64,448.59,455.99
2000_6,422.52,250.82,409.84,387.78,254.22,253.32,631.5,352.94,322.82,332.34,544.05,335.96,453.31,253.14,303.92,334.44,336.62,623.18,277.51,377.19,406.46,329.05,431.32,442.63,232.5,420.56,496.05,448.06,455.43
2000_7,422.28,250.86,409.54,387.84,254.54,253.63,630.06,353.43,323.15,333.05,543.56,336.68,452.95,253.43,304.13,335.17,337.34,622.46,277.75,377.09,406.26,329.78,431.07,442.2,233.11,420.31,495.56,447.61,454.95
2000_8,421.98,250.86,409.26,387.85,254.86,253.93,628.68,353.86,323.43,333.78,543.02,337.37,452.53,253.76,304.35,335.85,338.03,621.68,277.98,376.98,406.04,330.42,430.75,441.73,233.67,420.01,495.04,447.11,454.42
2000_9,421.52,250.83,408.86,387.75,255.12,254.19,626.99,354.2,323.65,334.39,542.29,337.99,451.98,254.02,304.43,336.45,338.62,620.7,278.11,376.7,405.7,331.04,430.29,441.08,234.18,419.57,494.34,446.44,453.72
2000_10,421.02,250.66,408.46,387.66,255.24,254.34,625.2,354.51,323.76,334.91,541.49,338.52,451.34,254.18,304.45,337.02,339.14,619.62,278.14,376.36,405.26,331.62,429.76,440.3,234.59,419.1,493.6,445.73,452.98
2000_11,420.52,250.57,407.99,387.49,255.51,254.58,623.41,354.79,323.93,335.42,540.74,338.96,450.69,254.4,304.52,337.51,339.67,618.5,278.28,376.06,404.86,332.16,429.24,439.66,235.04,418.59,492.88,445.04,452.26
2000_12,419.81,250.39,407.41,387.26,255.63,254.69,621.39,354.96,323.9,335.87,539.7,339.44,449.88,254.58,304.48,337.97,340.07,617.42,278.22,375.62,404.25,332.63,428.5,438.7,235.43,417.95,491.93,444.17,451.33
2001_1,419.41,249.7,407.18,387.2,254.86,253.78,619.89,354.78,323.35,335.46,539.29,339.22,449.6,253.86,303.86,337.86,339.68,616.95,277.44,374.99,404.04,332.53,428.33,438.4,235.21,417.78,491.42,443.75,450.84
2001_2,419.16,248.96,406.96,387.0,253.96,252.84,618.2,354.52,322.89,335.22,538.76,339.02,449.18,252.89,303.07,337.59,339.41,616.16,276.66,374.54,403.85,332.28,428.03,437.92,235.0,417.52,490.89,443.22,450.25
2001_3,419.04,248.25,406.83,386.85,252.84,251.92,616.7,354.37,322.41,335.11,538.41,338.9,448.91,251.85,302.36,337.4,339.27,615.61,275.83,374.2,403.76,332.09,427.92,437.54,234.86,417.38,490.53,442.82,449.8
2001_4,418.75,247.47,406.59,386.61,251.8,250.93,615.02,354.13,321.75,334.89,537.91,338.67,448.49,250.86,301.61,337.17,339.05,614.82,274.89,373.77,403.45,331.82,427.64,437.0,234.65,417.11,490.02,442.3,449.21
2001_5,418.37,246.62,406.28,386.3,250.79,249.92,613.13,353.8,321.21,334.55,537.14,338.32,447.91,249.77,300.72,336.84,338.69,613.81,274.03,373.21,403.21,331.59,427.2,436.23,234.36,416.7,489.27,441.58,448.45
2001_6,417.98,245.76,405.98,386.03,249.73,248.89,611.3,353.49,320.56,334.23,536.51,337.98,447.4,248.73,299.87,336.52,338.35,612.91,273.09,372.64,402.88,331.29,426.81,435.62,234.07,416.36,488.62,440.97,447.76
2001_7,417.6,244.9,405.62,385.69,248.64,247.83,609.51,353.14,319.86,333.87,535.82,337.63,446.85,247.66,298.99,336.19,337.95,611.93,272.1,372.07,402.5,330.98,426.4,435.06,233.78,415.98,487.92,440.34,447.08
