Unnamed: 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1999_3,324.58,324.21,414.57,449.99,470.53,263.9,331.28,332.12,269.06,347.12,328.67,435.63,345.29,437.58,333.12,325.43,263.97,519.45,386.21,499.51,699.32,482.33,430.63,543.53,264.03,418.36,529.06,264.52,224.09
1999_4,324.8,324.32,412.54,447.78,468.12,262.64,331.48,332.27,267.79,346.47,328.82,433.45,345.18,435.4,331.41,323.88,262.71,516.38,385.08,496.86,695.41,479.62,428.62,540.57,262.64,415.98,526.1,263.17,224.22
1999_5,324.8,324.35,410.4,445.23,465.78,261.29,331.52,332.32,266.43,346.21,328.86,431.1,344.82,433.27,329.97,322.13,261.38,513.35,383.86,494.13,691.63,476.98,426.35,537.47,261.38,414.44,523.32,261.91,224.35
1999_6,324.79,324.39,408.26,443.06,463.29,259.78,331.51,332.31,264.85,345.85,328.89,429.05,344.48,430.99,327.88,320.51,259.83,509.88,382.64,491.23,687.56,474.13,424.26,534.29,259.89,412.24,520.33,260.26,224.39
1999_7,324.9,324.53,406.06,440.81,460.75,258.39,331.59,332.39,263.38,345.55,328.99,426.9,344.21,428.72,326.24,318.77,258.44,506.27,381.51,488.44,683.62,471.33,422.1,530.76,258.6,410.37,517.34,258.91,224.52
1999_8,324.81,324.44,403.87,438.39,458.36,256.85,331.5,332.31,261.88,345.04,328.92,424.57,343.79,426.48,324.38,316.95,256.93,503.52,380.16,485.62,679.58,468.62,419.81,528.09,257.09,408.38,514.42,257.41,224.52
1999_9,324.93,324.55,401.76,436.1,455.95,255.47,331.6,332.39,260.48,344.7,329.0,422.41,343.5,424.16,322.64,315.33,255.55,500.39,378.98,482.87,675.75,465.89,417.64,525.01,255.72,406.55,511.55,256.03,224.63
1999_10,324.88,324.47,399.54,433.66,453.4,253.97,331.6,332.36,258.98,344.21,328.93,420.07,343.1,421.82,320.82,313.51,254.03,497.12,377.67,479.98,671.68,463.05,415.34,521.79,254.24,404.46,508.58,254.49,224.67
1999_11,324.88,324.48,397.24,431.22,450.79,252.45,331.57,332.27,257.41,343.77,328.89,417.68,342.72,419.37,318.89,311.65,252.52,493.91,376.36,477.11,667.52,460.16,413.03,518.63,252.74,402.49,505.47,253.01,224.68
1999_12,324.77,324.37,394.96,428.75,448.21,250.95,331.43,332.12,255.96,343.3,328.78,415.36,342.27,417.0,317.08,309.85,251.05,490.47,375.02,474.13,663.39,457.29,410.72,515.31,251.27,400.45,502.42,251.52,224.72
