Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,27,28,29
1997_10,483.94,346.96,311.79,436.71,268.64,546.42,289.16,318.93,263.05,655.55,503.71,269.36,446.13,490.58,438.2,282.11,273.7,444.19,285.18,224.08,673.02,276.15,438.43,266.64,268.82,225.6,275.45
1997_11,485.0,348.33,313.3,437.85,270.29,547.57,289.39,320.45,264.66,656.8,504.58,271.0,447.24,491.65,439.35,283.84,273.87,445.36,285.41,225.36,673.08,276.35,439.57,268.28,270.41,226.74,276.77
1997_12,486.29,349.77,314.87,439.12,271.99,548.88,289.67,322.03,266.32,658.24,505.58,272.68,448.51,492.87,440.64,285.61,274.06,446.62,285.65,226.75,673.28,276.59,440.84,269.94,272.14,227.89,278.12
1998_1,486.08,352.63,318.95,439.01,277.6,548.53,289.33,325.93,271.83,657.68,505.08,278.32,448.38,492.57,440.53,291.5,273.71,446.49,285.35,229.96,671.54,276.22,440.73,275.51,277.76,228.58,282.34
1998_2,485.9,355.53,322.99,439.02,283.08,548.27,289.16,329.76,277.26,657.23,504.62,283.84,448.38,492.44,440.47,297.25,273.44,446.42,285.21,233.19,669.88,275.91,440.74,281.02,283.21,229.28,286.55
1998_3,485.68,358.23,326.91,438.94,288.43,547.99,288.87,333.47,282.52,656.79,504.15,289.21,448.27,492.18,440.38,302.78,273.08,446.28,284.77,236.22,668.19,275.58,440.66,286.34,288.62,229.92,290.62
1998_4,485.39,360.73,330.52,438.43,293.57,547.33,288.18,336.97,287.6,656.08,503.48,294.42,447.71,491.79,440.07,308.24,272.58,446.07,284.19,239.19,666.26,275.12,440.06,291.46,293.84,230.5,294.5
1998_5,484.85,363.2,334.13,438.41,298.58,546.85,287.77,340.38,292.45,655.16,502.79,299.37,447.67,491.33,439.88,313.45,272.12,445.82,283.74,241.94,664.28,274.68,440.11,296.36,298.77,230.96,298.26
1998_6,484.51,365.64,337.67,438.22,303.49,546.42,287.38,343.75,297.26,654.47,502.18,304.3,447.4,491.0,439.71,318.58,271.72,445.6,283.36,244.73,662.53,274.27,439.93,301.24,303.67,231.48,301.93
1998_7,484.05,367.95,341.03,437.9,308.23,545.83,286.88,346.9,301.9,653.62,501.47,309.04,447.12,490.46,439.34,323.53,271.23,445.21,282.86,247.41,660.55,273.77,439.6,305.91,308.39,231.93,305.45
1998_8,483.6,370.21,344.32,437.56,312.82,545.21,286.4,350.02,306.43,652.81,500.75,313.65,446.73,489.98,439.04,328.34,270.72,444.88,282.38,250.01,658.68,273.28,439.25,310.49,312.99,232.36,308.9
1998_9,483.04,372.17,347.49,437.17,317.25,544.52,285.89,353.01,310.85,651.81,499.9,318.13,446.37,489.41,438.65,332.96,270.21,444.46,281.88,252.52,656.56,272.75,438.86,314.93,317.48,232.71,312.23
1998_10,482.41,374.24,350.47,436.71,321.52,543.67,285.33,355.83,315.05,650.68,499.0,322.45,445.88,488.69,438.13,337.48,269.61,443.95,281.28,254.8,654.45,272.17,438.39,319.17,321.78,232.96,315.4
1998_11,481.74,376.12,353.36,436.17,325.65,542.84,284.72,358.55,319.12,649.59,498.06,326.6,445.31,487.96,437.62,341.8,269.03,443.39,280.71,257.07,652.18,271.57,437.79,323.27,325.91,233.19,318.48
1998_12,480.81,377.81,356.04,435.51,329.61,541.66,284.03,361.08,322.93,648.07,496.83,330.51,444.54,486.96,436.94,345.99,268.32,442.7,280.08,259.17,649.68,270.89,437.16,327.14,329.81,233.35,321.38
1999_1,478.58,376.97,355.68,433.55,329.77,539.1,282.71,360.63,323.04,644.84,494.28,330.65,442.59,484.68,435.03,346.17,267.09,440.72,278.84,259.06,645.4,269.58,435.25,327.3,329.95,233.28,321.13
1999_2,476.23,376.1,355.23,431.6,329.86,536.36,281.48,360.16,323.23,641.48,491.67,330.74,440.53,482.33,432.98,346.18,265.82,438.66,277.45,258.98,641.13,268.27,433.24,327.43,330.05,233.22,320.92
1999_3,473.84,375.47,354.69,429.69,329.9,533.67,279.65,359.64,323.36,638.09,489.01,330.8,438.22,479.95,430.9,346.32,264.26,436.59,275.77,258.82,636.8,266.71,431.28,327.47,330.13,233.09,320.63
1999_4,471.37,374.06,354.37,427.27,330.06,530.77,278.26,359.07,323.47,634.5,486.26,331.02,436.14,477.55,428.87,346.34,262.9,434.46,274.41,258.69,632.45,265.42,429.0,327.72,330.27,232.98,320.25
