Unnamed: 0,0,1,2,3,4,5,6,7,8,9
2009_8,873.34,1215.59,404.6,816.88,640.09,596.31,896.86,691.5,740.38,993.34
2009_9,880.71,1219.87,404.82,820.23,640.0,605.85,900.75,692.2,740.35,997.87
2009_10,887.99,1223.89,405.07,823.3,639.94,615.22,904.63,692.81,740.18,1002.17
2009_11,895.19,1228.21,405.45,826.91,640.17,624.44,908.47,694.2,739.67,1006.7
2009_12,902.63,1232.0,406.03,830.6,640.13,634.22,913.47,695.21,739.46,1012.82
2010_1,908.1,1239.24,408.52,835.42,644.69,637.54,918.7,699.65,746.11,1017.5
2010_2,914.49,1246.54,411.89,841.73,650.16,641.96,925.39,705.3,752.24,1024.4
2010_3,921.15,1254.31,415.34,848.22,655.74,646.3,932.34,711.14,758.79,1031.7
2010_4,927.41,1261.64,418.75,854.49,661.25,650.58,939.05,716.79,765.1,1038.67
2010_5,933.44,1268.68,422.04,860.63,666.64,654.72,945.65,722.4,771.35,1045.43
2010_6,939.62,1275.6,425.25,866.61,671.86,658.89,952.07,727.86,777.27,1052.08
2010_7,945.81,1282.78,428.58,872.82,677.24,663.1,958.69,733.52,783.64,1058.93
2010_8,951.96,1289.86,431.93,878.92,682.63,667.31,965.19,739.1,789.61,1065.72
2010_9,958.33,1297.13,435.18,885.2,688.0,671.57,971.85,744.62,795.83,1072.53
2010_10,964.31,1303.78,438.28,891.2,693.27,675.51,978.2,750.07,801.88,1079.12
2010_11,970.33,1310.78,441.53,897.03,698.51,679.63,984.58,755.5,807.9,1085.76
2010_12,975.97,1317.2,444.56,902.7,703.44,683.49,990.77,760.8,813.84,1091.91
2011_1,980.97,1322.03,448.04,907.92,708.54,687.88,996.19,765.9,807.61,1097.05
2011_2,986.43,1327.77,451.59,913.33,713.89,692.25,1001.75,771.06,813.58,1102.73
2011_3,991.73,1333.16,455.05,918.72,718.98,696.45,1007.34,776.25,819.6,1108.22
2011_4,996.58,1338.13,458.47,923.62,724.01,700.52,1012.51,781.17,825.36,1113.24
2011_5,1001.26,1342.8,461.81,928.43,729.01,704.51,1017.66,786.19,831.05,1118.19
2011_6,1006.24,1347.56,465.17,933.39,733.96,708.62,1022.8,791.19,836.5,1123.26
